District,Month,MonthName,TotalPrecipitation,MeanTemperature,RecordCount,Summary
Kilinochchi[1],4,April,1342.0,29.16,450,Kilinochchi[1] had a total precipitation of 1342.00 hours with a mean temperature of 29.16°C for 4th month
Kilinochchi[1],5,May,1247.0,29.42,465,Kilinochchi[1] had a total precipitation of 1247.00 hours with a mean temperature of 29.42°C for 5th month
Kilinochchi[1],6,June,591.0,29.66,428,Kilinochchi[1] had a total precipitation of 591.00 hours with a mean temperature of 29.66°C for 6th month
Kilinochchi[1],7,July,718.0,29.44,434,Kilinochchi[1] had a total precipitation of 718.00 hours with a mean temperature of 29.44°C for 7th month
Kilinochchi[1],8,August,1030.0,29.03,434,Kilinochchi[1] had a total precipitation of 1030.00 hours with a mean temperature of 29.03°C for 8th month
Kilinochchi[1],9,September,1279.0,28.7,420,Kilinochchi[1] had a total precipitation of 1279.00 hours with a mean temperature of 28.70°C for 9th month
Kurunegala,1,January,1399.0,25.0,465,Kurunegala had a total precipitation of 1399.00 hours with a mean temperature of 25.00°C for 1st month
Kurunegala,10,October,4779.0,25.23,434,Kurunegala had a total precipitation of 4779.00 hours with a mean temperature of 25.23°C for 10th month
Kurunegala,11,November,3792.0,24.96,420,Kurunegala had a total precipitation of 3792.00 hours with a mean temperature of 24.96°C for 11th month
Kurunegala,12,December,2879.0,24.79,434,Kurunegala had a total precipitation of 2879.00 hours with a mean temperature of 24.79°C for 12th month
Kurunegala,2,February,1039.0,26.08,424,Kurunegala had a total precipitation of 1039.00 hours with a mean temperature of 26.08°C for 2nd month
Kurunegala,3,March,1411.0,27.54,465,Kurunegala had a total precipitation of 1411.00 hours with a mean temperature of 27.54°C for 3rd month
Kurunegala,4,April,2706.0,27.16,450,Kurunegala had a total precipitation of 2706.00 hours with a mean temperature of 27.16°C for 4th month
Kurunegala,5,May,4404.0,26.48,465,Kurunegala had a total precipitation of 4404.00 hours with a mean temperature of 26.48°C for 5th month
Kurunegala,6,June,5036.0,25.91,428,Kurunegala had a total precipitation of 5036.00 hours with a mean temperature of 25.91°C for 6th month
Kurunegala,7,July,4449.0,25.8,434,Kurunegala had a total precipitation of 4449.00 hours with a mean temperature of 25.80°C for 7th month
Kurunegala,8,August,4515.0,25.65,434,Kurunegala had a total precipitation of 4515.00 hours with a mean temperature of 25.65°C for 8th month
Kurunegala,9,September,4457.0,25.45,420,Kurunegala had a total precipitation of 4457.00 hours with a mean temperature of 25.45°C for 9th month
Mannar,1,January,1780.0,25.61,465,Mannar had a total precipitation of 1780.00 hours with a mean temperature of 25.61°C for 1st month
Mannar,10,October,3808.0,27.3,434,Mannar had a total precipitation of 3808.00 hours with a mean temperature of 27.30°C for 10th month
Mannar,11,November,4452.0,26.25,420,Mannar had a total precipitation of 4452.00 hours with a mean temperature of 26.25°C for 11th month
Mannar,12,December,3377.0,25.77,434,Mannar had a total precipitation of 3377.00 hours with a mean temperature of 25.77°C for 12th month
Mannar,2,February,1058.0,26.46,424,Mannar had a total precipitation of 1058.00 hours with a mean temperature of 26.46°C for 2nd month
Mannar,3,March,990.0,28.21,465,Mannar had a total precipitation of 990.00 hours with a mean temperature of 28.21°C for 3rd month
Mannar,4,April,2102.0,29.12,450,Mannar had a total precipitation of 2102.00 hours with a mean temperature of 29.12°C for 4th month
Mannar,5,May,2156.0,29.13,465,Mannar had a total precipitation of 2156.00 hours with a mean temperature of 29.13°C for 5th month
Mannar,6,June,1196.0,28.88,428,Mannar had a total precipitation of 1196.00 hours with a mean temperature of 28.88°C for 6th month
Mannar,7,July,929.0,28.54,434,Mannar had a total precipitation of 929.00 hours with a mean temperature of 28.54°C for 7th month
Mannar,8,August,1158.0,28.19,434,Mannar had a total precipitation of 1158.00 hours with a mean temperature of 28.19°C for 8th month
Mannar,9,September,1778.0,28.02,420,Mannar had a total precipitation of 1778.00 hours with a mean temperature of 28.02°C for 9th month
Matale,1,January,1733.0,23.53,465,Matale had a total precipitation of 1733.00 hours with a mean temperature of 23.53°C for 1st month
Matale,10,October,4544.0,24.49,434,Matale had a total precipitation of 4544.00 hours with a mean temperature of 24.49°C for 10th month
Matale,11,November,4046.0,23.97,420,Matale had a total precipitation of 4046.00 hours with a mean temperature of 23.97°C for 11th month
Matale,12,December,3306.0,23.59,434,Matale had a total precipitation of 3306.00 hours with a mean temperature of 23.59°C for 12th month
Matale,2,February,1328.0,24.4,424,Matale had a total precipitation of 1328.00 hours with a mean temperature of 24.40°C for 2nd month
Matale,3,March,1532.0,26.02,465,Matale had a total precipitation of 1532.00 hours with a mean temperature of 26.02°C for 3rd month
Matale,4,April,2754.0,26.23,450,Matale had a total precipitation of 2754.00 hours with a mean temperature of 26.23°C for 4th month
Matale,5,May,3898.0,25.68,465,Matale had a total precipitation of 3898.00 hours with a mean temperature of 25.68°C for 5th month
Matale,6,June,4369.0,25.26,428,Matale had a total precipitation of 4369.00 hours with a mean temperature of 25.26°C for 6th month
Matale,7,July,4065.0,25.1,434,Matale had a total precipitation of 4065.00 hours with a mean temperature of 25.10°C for 7th month
Matale,8,August,3989.0,24.96,434,Matale had a total precipitation of 3989.00 hours with a mean temperature of 24.96°C for 8th month
Matale,9,September,3738.0,24.83,420,Matale had a total precipitation of 3738.00 hours with a mean temperature of 24.83°C for 9th month
Matara,1,January,2109.0,25.95,465,Matara had a total precipitation of 2109.00 hours with a mean temperature of 25.95°C for 1st month
Matara,10,October,5457.0,26.33,434,Matara had a total precipitation of 5457.00 hours with a mean temperature of 26.33°C for 10th month
Matara,11,November,4642.0,26.16,420,Matara had a total precipitation of 4642.00 hours with a mean temperature of 26.16°C for 11th month
Matara,12,December,3393.0,26.02,434,Matara had a total precipitation of 3393.00 hours with a mean temperature of 26.02°C for 12th month
Matara,2,February,1846.0,26.51,424,Matara had a total precipitation of 1846.00 hours with a mean temperature of 26.51°C for 2nd month
Matara,3,March,2348.0,27.22,465,Matara had a total precipitation of 2348.00 hours with a mean temperature of 27.22°C for 3rd month
Matara,4,April,3776.0,27.48,450,Matara had a total precipitation of 3776.00 hours with a mean temperature of 27.48°C for 4th month
Matara,5,May,6345.0,27.34,465,Matara had a total precipitation of 6345.00 hours with a mean temperature of 27.34°C for 5th month
Matara,6,June,6045.0,26.97,428,Matara had a total precipitation of 6045.00 hours with a mean temperature of 26.97°C for 6th month
Matara,7,July,5126.0,26.71,434,Matara had a total precipitation of 5126.00 hours with a mean temperature of 26.71°C for 7th month
Matara,8,August,5440.0,26.49,434,Matara had a total precipitation of 5440.00 hours with a mean temperature of 26.49°C for 8th month
Matara,9,September,5947.0,26.39,420,Matara had a total precipitation of 5947.00 hours with a mean temperature of 26.39°C for 9th month
Moneragala,1,January,2825.0,24.29,465,Moneragala had a total precipitation of 2825.00 hours with a mean temperature of 24.29°C for 1st month
Moneragala,10,October,3263.0,26.17,434,Moneragala had a total precipitation of 3263.00 hours with a mean temperature of 26.17°C for 10th month
Moneragala,11,November,4244.0,24.79,420,Moneragala had a total precipitation of 4244.00 hours with a mean temperature of 24.79°C for 11th month
Moneragala,12,December,4162.0,24.37,434,Moneragala had a total precipitation of 4162.00 hours with a mean temperature of 24.37°C for 12th month
Moneragala,2,February,2325.0,24.86,424,Moneragala had a total precipitation of 2325.00 hours with a mean temperature of 24.86°C for 2nd month
Moneragala,3,March,2191.0,25.96,465,Moneragala had a total precipitation of 2191.00 hours with a mean temperature of 25.96°C for 3rd month
Moneragala,4,April,2393.0,26.66,450,Moneragala had a total precipitation of 2393.00 hours with a mean temperature of 26.66°C for 4th month
Moneragala,5,May,1900.0,27.33,465,Moneragala had a total precipitation of 1900.00 hours with a mean temperature of 27.33°C for 5th month
Moneragala,6,June,1003.0,28.21,428,Moneragala had a total precipitation of 1003.00 hours with a mean temperature of 28.21°C for 6th month
Moneragala,7,July,991.0,28.24,434,Moneragala had a total precipitation of 991.00 hours with a mean temperature of 28.24°C for 7th month
Moneragala,8,August,1188.0,28.03,434,Moneragala had a total precipitation of 1188.00 hours with a mean temperature of 28.03°C for 8th month
Moneragala,9,September,1540.0,27.47,420,Moneragala had a total precipitation of 1540.00 hours with a mean temperature of 27.47°C for 9th month
Mullaitivu,1,January,3165.0,25.59,465,Mullaitivu had a total precipitation of 3165.00 hours with a mean temperature of 25.59°C for 1st month
Mullaitivu,10,October,3434.0,27.41,434,Mullaitivu had a total precipitation of 3434.00 hours with a mean temperature of 27.41°C for 10th month
Mullaitivu,11,November,5537.0,26.19,420,Mullaitivu had a total precipitation of 5537.00 hours with a mean temperature of 26.19°C for 11th month
Mullaitivu,12,December,5114.0,25.75,434,Mullaitivu had a total precipitation of 5114.00 hours with a mean temperature of 25.75°C for 12th month
Mullaitivu,2,February,2040.0,26.13,424,Mullaitivu had a total precipitation of 2040.00 hours with a mean temperature of 26.13°C for 2nd month
Mullaitivu,3,March,1263.0,27.41,465,Mullaitivu had a total precipitation of 1263.00 hours with a mean temperature of 27.41°C for 3rd month
Mullaitivu,4,April,1311.0,28.69,450,Mullaitivu had a total precipitation of 1311.00 hours with a mean temperature of 28.69°C for 4th month
Mullaitivu,5,May,1290.0,29.32,465,Mullaitivu had a total precipitation of 1290.00 hours with a mean temperature of 29.32°C for 5th month
Mullaitivu,6,June,611.0,29.84,428,Mullaitivu had a total precipitation of 611.00 hours with a mean temperature of 29.84°C for 6th month
Mullaitivu,7,July,782.0,29.43,434,Mullaitivu had a total precipitation of 782.00 hours with a mean temperature of 29.43°C for 7th month
Mullaitivu,8,August,1078.0,28.97,434,Mullaitivu had a total precipitation of 1078.00 hours with a mean temperature of 28.97°C for 8th month
Mullaitivu,9,September,1288.0,28.64,420,Mullaitivu had a total precipitation of 1288.00 hours with a mean temperature of 28.64°C for 9th month
Nuwara Eliya,1,January,2745.0,15.78,465,Nuwara Eliya had a total precipitation of 2745.00 hours with a mean temperature of 15.78°C for 1st month
Nuwara Eliya,10,October,5027.0,16.47,434,Nuwara Eliya had a total precipitation of 5027.00 hours with a mean temperature of 16.47°C for 10th month
Nuwara Eliya,11,November,4402.0,16.31,420,Nuwara Eliya had a total precipitation of 4402.00 hours with a mean temperature of 16.31°C for 11th month
Nuwara Eliya,12,December,4212.0,16.01,434,Nuwara Eliya had a total precipitation of 4212.00 hours with a mean temperature of 16.01°C for 12th month
Nuwara Eliya,2,February,2190.0,16.26,424,Nuwara Eliya had a total precipitation of 2190.00 hours with a mean temperature of 16.26°C for 2nd month
Nuwara Eliya,3,March,2051.0,17.02,465,Nuwara Eliya had a total precipitation of 2051.00 hours with a mean temperature of 17.02°C for 3rd month
Nuwara Eliya,4,April,3059.0,17.44,450,Nuwara Eliya had a total precipitation of 3059.00 hours with a mean temperature of 17.44°C for 4th month
Nuwara Eliya,5,May,4768.0,17.61,465,Nuwara Eliya had a total precipitation of 4768.00 hours with a mean temperature of 17.61°C for 5th month
Nuwara Eliya,6,June,5212.0,17.03,428,Nuwara Eliya had a total precipitation of 5212.00 hours with a mean temperature of 17.03°C for 6th month
Nuwara Eliya,7,July,4944.0,16.72,434,Nuwara Eliya had a total precipitation of 4944.00 hours with a mean temperature of 16.72°C for 7th month
Nuwara Eliya,8,August,4984.0,16.58,434,Nuwara Eliya had a total precipitation of 4984.00 hours with a mean temperature of 16.58°C for 8th month
Nuwara Eliya,9,September,4646.0,16.58,420,Nuwara Eliya had a total precipitation of 4646.00 hours with a mean temperature of 16.58°C for 9th month
Polonnaruwa,1,January,3161.0,24.58,465,Polonnaruwa had a total precipitation of 3161.00 hours with a mean temperature of 24.58°C for 1st month
Polonnaruwa,10,October,2952.0,27.17,434,Polonnaruwa had a total precipitation of 2952.00 hours with a mean temperature of 27.17°C for 10th month
Polonnaruwa,11,November,4139.0,25.55,420,Polonnaruwa had a total precipitation of 4139.00 hours with a mean temperature of 25.55°C for 11th month
Polonnaruwa,12,December,4401.0,24.91,434,Polonnaruwa had a total precipitation of 4401.00 hours with a mean temperature of 24.91°C for 12th month
Polonnaruwa,2,February,2395.0,25.26,424,Polonnaruwa had a total precipitation of 2395.00 hours with a mean temperature of 25.26°C for 2nd month
Polonnaruwa,3,March,1678.0,26.9,465,Polonnaruwa had a total precipitation of 1678.00 hours with a mean temperature of 26.90°C for 3rd month
Polonnaruwa,4,April,1566.0,28.35,450,Polonnaruwa had a total precipitation of 1566.00 hours with a mean temperature of 28.35°C for 4th month
Polonnaruwa,5,May,1427.0,28.82,465,Polonnaruwa had a total precipitation of 1427.00 hours with a mean temperature of 28.82°C for 5th month
Polonnaruwa,6,June,569.0,29.32,428,Polonnaruwa had a total precipitation of 569.00 hours with a mean temperature of 29.32°C for 6th month
Polonnaruwa,7,July,617.0,29.13,434,Polonnaruwa had a total precipitation of 617.00 hours with a mean temperature of 29.13°C for 7th month
Polonnaruwa,8,August,794.0,28.99,434,Polonnaruwa had a total precipitation of 794.00 hours with a mean temperature of 28.99°C for 8th month
Polonnaruwa,9,September,1089.0,28.63,420,Polonnaruwa had a total precipitation of 1089.00 hours with a mean temperature of 28.63°C for 9th month
Puttalam,1,January,1470.0,25.58,465,Puttalam had a total precipitation of 1470.00 hours with a mean temperature of 25.58°C for 1st month
Puttalam,10,October,4920.0,26.65,434,Puttalam had a total precipitation of 4920.00 hours with a mean temperature of 26.65°C for 10th month
Puttalam,11,November,3975.0,26.06,420,Puttalam had a total precipitation of 3975.00 hours with a mean temperature of 26.06°C for 11th month
Puttalam,12,December,2798.0,25.74,434,Puttalam had a total precipitation of 2798.00 hours with a mean temperature of 25.74°C for 12th month
Puttalam,2,February,1022.0,26.52,424,Puttalam had a total precipitation of 1022.00 hours with a mean temperature of 26.52°C for 2nd month
Puttalam,3,March,1491.0,27.83,465,Puttalam had a total precipitation of 1491.00 hours with a mean temperature of 27.83°C for 3rd month
Puttalam,4,April,3116.0,28.07,450,Puttalam had a total precipitation of 3116.00 hours with a mean temperature of 28.07°C for 4th month
Puttalam,5,May,4610.0,28.04,465,Puttalam had a total precipitation of 4610.00 hours with a mean temperature of 28.04°C for 5th month
Puttalam,6,June,4229.0,27.68,428,Puttalam had a total precipitation of 4229.00 hours with a mean temperature of 27.68°C for 6th month
Puttalam,7,July,2762.0,27.47,434,Puttalam had a total precipitation of 2762.00 hours with a mean temperature of 27.47°C for 7th month
Puttalam,8,August,3227.0,27.26,434,Puttalam had a total precipitation of 3227.00 hours with a mean temperature of 27.26°C for 8th month
Puttalam,9,September,4298.0,27.06,420,Puttalam had a total precipitation of 4298.00 hours with a mean temperature of 27.06°C for 9th month
Ratnapura,1,January,2323.0,24.99,465,Ratnapura had a total precipitation of 2323.00 hours with a mean temperature of 24.99°C for 1st month
Ratnapura,10,October,6264.0,24.89,434,Ratnapura had a total precipitation of 6264.00 hours with a mean temperature of 24.89°C for 10th month
Ratnapura,11,November,4784.0,24.83,420,Ratnapura had a total precipitation of 4784.00 hours with a mean temperature of 24.83°C for 11th month
Ratnapura,12,December,3647.0,24.74,434,Ratnapura had a total precipitation of 3647.00 hours with a mean temperature of 24.74°C for 12th month
Ratnapura,2,February,2059.0,25.62,424,Ratnapura had a total precipitation of 2059.00 hours with a mean temperature of 25.62°C for 2nd month
Ratnapura,3,March,2553.0,26.19,465,Ratnapura had a total precipitation of 2553.00 hours with a mean temperature of 26.19°C for 3rd month
Ratnapura,4,April,4230.0,26.22,450,Ratnapura had a total precipitation of 4230.00 hours with a mean temperature of 26.22°C for 4th month
Ratnapura,5,May,7365.0,25.89,465,Ratnapura had a total precipitation of 7365.00 hours with a mean temperature of 25.89°C for 5th month
Ratnapura,6,June,7899.0,25.41,428,Ratnapura had a total precipitation of 7899.00 hours with a mean temperature of 25.41°C for 6th month
Ratnapura,7,July,7266.0,25.21,434,Ratnapura had a total precipitation of 7266.00 hours with a mean temperature of 25.21°C for 7th month
Ratnapura,8,August,7403.0,25.01,434,Ratnapura had a total precipitation of 7403.00 hours with a mean temperature of 25.01°C for 8th month
Ratnapura,9,September,7127.0,24.91,420,Ratnapura had a total precipitation of 7127.00 hours with a mean temperature of 24.91°C for 9th month
Trincomalee,1,January,3909.0,25.61,465,Trincomalee had a total precipitation of 3909.00 hours with a mean temperature of 25.61°C for 1st month
Trincomalee,10,October,3481.0,27.35,434,Trincomalee had a total precipitation of 3481.00 hours with a mean temperature of 27.35°C for 10th month
Trincomalee,11,November,5456.0,26.16,420,Trincomalee had a total precipitation of 5456.00 hours with a mean temperature of 26.16°C for 11th month
Trincomalee,12,December,5504.0,25.75,434,Trincomalee had a total precipitation of 5504.00 hours with a mean temperature of 25.75°C for 12th month
Trincomalee,2,February,2689.0,26.2,424,Trincomalee had a total precipitation of 2689.00 hours with a mean temperature of 26.20°C for 2nd month
Trincomalee,3,March,1864.0,27.42,465,Trincomalee had a total precipitation of 1864.00 hours with a mean temperature of 27.42°C for 3rd month
Trincomalee,4,April,1659.0,28.66,450,Trincomalee had a total precipitation of 1659.00 hours with a mean temperature of 28.66°C for 4th month
Trincomalee,5,May,1502.0,29.22,465,Trincomalee had a total precipitation of 1502.00 hours with a mean temperature of 29.22°C for 5th month
Trincomalee,6,June,629.0,29.67,428,Trincomalee had a total precipitation of 629.00 hours with a mean temperature of 29.67°C for 6th month
Trincomalee,7,July,751.0,29.3,434,Trincomalee had a total precipitation of 751.00 hours with a mean temperature of 29.30°C for 7th month
Trincomalee,8,August,983.0,28.91,434,Trincomalee had a total precipitation of 983.00 hours with a mean temperature of 28.91°C for 8th month
Trincomalee,9,September,1350.0,28.53,420,Trincomalee had a total precipitation of 1350.00 hours with a mean temperature of 28.53°C for 9th month
Vavuniya,1,January,2111.0,24.4,465,Vavuniya had a total precipitation of 2111.00 hours with a mean temperature of 24.40°C for 1st month
Vavuniya,10,October,3348.0,26.6,434,Vavuniya had a total precipitation of 3348.00 hours with a mean temperature of 26.60°C for 10th month
Vavuniya,11,November,4076.0,25.23,420,Vavuniya had a total precipitation of 4076.00 hours with a mean temperature of 25.23°C for 11th month
Vavuniya,12,December,3697.0,24.67,434,Vavuniya had a total precipitation of 3697.00 hours with a mean temperature of 24.67°C for 12th month
Vavuniya,2,February,1357.0,25.28,424,Vavuniya had a total precipitation of 1357.00 hours with a mean temperature of 25.28°C for 2nd month
Vavuniya,3,March,1069.0,27.18,465,Vavuniya had a total precipitation of 1069.00 hours with a mean temperature of 27.18°C for 3rd month
Vavuniya,4,April,1678.0,28.35,450,Vavuniya had a total precipitation of 1678.00 hours with a mean temperature of 28.35°C for 4th month
Vavuniya,5,May,1847.0,28.29,465,Vavuniya had a total precipitation of 1847.00 hours with a mean temperature of 28.29°C for 5th month
Vavuniya,6,June,1052.0,28.69,428,Vavuniya had a total precipitation of 1052.00 hours with a mean temperature of 28.69°C for 6th month
Vavuniya,7,July,990.0,28.52,434,Vavuniya had a total precipitation of 990.00 hours with a mean temperature of 28.52°C for 7th month
Vavuniya,8,August,1261.0,28.16,434,Vavuniya had a total precipitation of 1261.00 hours with a mean temperature of 28.16°C for 8th month
Vavuniya,9,September,1604.0,27.83,420,Vavuniya had a total precipitation of 1604.00 hours with a mean temperature of 27.83°C for 9th month
Welimada,1,January,3664.0,19.12,465,Welimada had a total precipitation of 3664.00 hours with a mean temperature of 19.12°C for 1st month
Welimada,10,October,4288.0,21.22,434,Welimada had a total precipitation of 4288.00 hours with a mean temperature of 21.22°C for 10th month
Welimada,11,November,4582.0,20.2,420,Welimada had a total precipitation of 4582.00 hours with a mean temperature of 20.20°C for 11th month
Welimada,12,December,4583.0,19.64,434,Welimada had a total precipitation of 4583.00 hours with a mean temperature of 19.64°C for 12th month
Welimada,2,February,2942.0,19.64,424,Welimada had a total precipitation of 2942.00 hours with a mean temperature of 19.64°C for 2nd month
Welimada,3,March,2255.0,20.72,465,Welimada had a total precipitation of 2255.00 hours with a mean temperature of 20.72°C for 3rd month
Welimada,4,April,2960.0,21.51,450,Welimada had a total precipitation of 2960.00 hours with a mean temperature of 21.51°C for 4th month
Welimada,5,May,3536.0,22.43,465,Welimada had a total precipitation of 3536.00 hours with a mean temperature of 22.43°C for 5th month
Welimada,6,June,3076.0,22.69,428,Welimada had a total precipitation of 3076.00 hours with a mean temperature of 22.69°C for 6th month
Welimada,7,July,3133.0,22.69,434,Welimada had a total precipitation of 3133.00 hours with a mean temperature of 22.69°C for 7th month
Welimada,8,August,3216.0,22.45,434,Welimada had a total precipitation of 3216.00 hours with a mean temperature of 22.45°C for 8th month
Welimada,9,September,3315.0,22.01,420,Welimada had a total precipitation of 3315.00 hours with a mean temperature of 22.01°C for 9th month
